airport,direction,phase4_clean,phase5_physics,delta_physics_minus_clean
KATL,coastal_to_inland,0.7228665489725864,0.7257532472269577,0.002886698254371267
KBOS,inland_to_coastal,0.64308516329469,0.6465327147636513,0.003447551468961252
KDEN,coastal_to_inland,0.6141488314819766,0.6200930394237083,0.005944207941731672
KDFW,coastal_to_inland,0.4544160478450334,0.460272008290861,0.0058559604458275905
KSFO,inland_to_coastal,0.42985728119097566,0.43612647191796894,0.006269190726993279
