bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,21252,0.01820536956405411,0.001458686241294937
0.06666666666666667,0.13333333333333333,2889,0.0952732563457072,0.007961232260297681
0.13333333333333333,0.2,1508,0.16399618566992977,0.011273209549071617
0.2,0.26666666666666666,949,0.23178345537550543,0.02423603793466807
0.26666666666666666,0.3333333333333333,714,0.2993525416016652,0.02100840336134454
0.3333333333333333,0.4,551,0.3675094126425205,0.036297640653357534
0.4,0.4666666666666667,490,0.4326503038872243,0.04285714285714286
0.4666666666666667,0.5333333333333333,448,0.5009768647669989,0.03794642857142857
0.5333333333333333,0.6,396,0.5656186779998883,0.0707070707070707
0.6,0.6666666666666666,358,0.6315154304849202,0.07541899441340782
0.6666666666666666,0.7333333333333333,352,0.6987273123351136,0.13636363636363635
0.7333333333333333,0.8,347,0.7663148809896209,0.1873198847262248
0.8,0.8666666666666667,349,0.8318846048976175,0.2148997134670487
0.8666666666666667,0.9333333333333333,338,0.8994889167802614,0.34615384615384615
0.9333333333333333,1.0,604,0.9716336017576851,0.6837748344370861
