bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,28748,0.005669959649366913,0.005669959649366912
0.06666666666666667,0.13333333333333333,1039,0.08565928777670838,0.08565928777670838
0.13333333333333333,0.2,498,0.1686746987951807,0.1686746987951807
0.2,0.26666666666666666,351,0.21367521367521364,0.21367521367521367
0.26666666666666666,0.3333333333333333,71,0.28169014084507055,0.28169014084507044
0.3333333333333333,0.4,254,0.38188976377952755,0.38188976377952755
0.4,0.4666666666666667,27,0.4074074074074073,0.4074074074074074
0.4666666666666667,0.5333333333333333,54,0.5,0.5
0.5333333333333333,0.6,88,0.5795454545454547,0.5795454545454546
0.6,0.6666666666666666,60,0.6166666666666667,0.6166666666666667
0.6666666666666666,0.7333333333333333,123,0.7154471544715448,0.7154471544715447
0.7333333333333333,0.8,138,0.7971014492753623,0.7971014492753623
0.8,0.8666666666666667,7,0.857142857142857,0.8571428571428571
0.8666666666666667,0.9333333333333333,32,0.875,0.875
0.9333333333333333,1.0,55,0.9818181818181816,0.9818181818181818
