bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,23423,0.01376410018247052,0.002220040131494685
0.06666666666666667,0.13333333333333333,2333,0.09477040776610413,0.011144449207029576
0.13333333333333333,0.2,1121,0.16306592583309917,0.01784121320249777
0.2,0.26666666666666666,822,0.23128654828406037,0.02068126520681265
0.26666666666666666,0.3333333333333333,553,0.2983325036370249,0.04159132007233273
0.3333333333333333,0.4,442,0.36675288611095286,0.05203619909502263
0.4,0.4666666666666667,358,0.43126282839701446,0.06983240223463687
0.4666666666666667,0.5333333333333333,325,0.4989609504573163,0.08923076923076922
0.5333333333333333,0.6,308,0.5658732048200356,0.08441558441558442
0.6,0.6666666666666666,275,0.6352246388162103,0.15636363636363637
0.6666666666666666,0.7333333333333333,246,0.7005944296889242,0.16260162601626016
0.7333333333333333,0.8,252,0.7677484994890768,0.21825396825396826
0.8,0.8666666666666667,279,0.8328121713545136,0.22580645161290322
0.8666666666666667,0.9333333333333333,230,0.8980854718848809,0.3869565217391304
0.9333333333333333,1.0,578,0.9765451865643396,0.7076124567474048
