bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,28686,0.00630515549633942,0.005647354110018824
0.06666666666666667,0.13333333333333333,1227,0.08543290338288848,0.09698451507742462
0.13333333333333333,0.2,567,0.16040407350045688,0.164021164021164
0.2,0.26666666666666666,241,0.22963530143947566,0.22406639004149378
0.26666666666666666,0.3333333333333333,74,0.2980630588662152,0.33783783783783783
0.3333333333333333,0.4,29,0.3802698280862994,0.3448275862068966
0.4,0.4666666666666667,77,0.42253589956773413,0.42857142857142855
0.4666666666666667,0.5333333333333333,146,0.47749766876818894,0.4794520547945205
0.5333333333333333,0.6,41,0.5757271717406487,0.5853658536585366
0.6,0.6666666666666666,117,0.6378217628512106,0.6324786324786325
0.6666666666666666,0.7333333333333333,129,0.6818463347731064,0.689922480620155
0.7333333333333333,0.8,70,0.7751308745764152,0.7714285714285715
0.8,0.8666666666666667,29,0.8211533396085192,0.8275862068965517
0.8666666666666667,0.9333333333333333,1,0.8746130030959752,0.0
0.9333333333333333,1.0,111,0.9820918268686404,0.9819819819819819
