bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,25708,0.008606762193886288,0.003461957367356465
0.06666666666666667,0.13333333333333333,1414,0.09456037089507184,0.01768033946251768
0.13333333333333333,0.2,755,0.16424356838756188,0.030463576158940398
0.2,0.26666666666666666,508,0.23105344246284396,0.05708661417322835
0.26666666666666666,0.3333333333333333,392,0.2961994979613379,0.05102040816326531
0.3333333333333333,0.4,350,0.3667674818267629,0.07428571428571429
0.4,0.4666666666666667,271,0.4330270062504736,0.06642066420664207
0.4666666666666667,0.5333333333333333,251,0.4983971555701082,0.10358565737051793
0.5333333333333333,0.6,235,0.5641273356166753,0.13617021276595745
0.6,0.6666666666666666,221,0.6320560626735908,0.1493212669683258
0.6666666666666666,0.7333333333333333,200,0.700787907205771,0.14
0.7333333333333333,0.8,209,0.7669985313727511,0.20095693779904306
0.8,0.8666666666666667,197,0.8340683861241627,0.22842639593908629
0.8666666666666667,0.9333333333333333,201,0.8999382706652073,0.34328358208955223
0.9333333333333333,1.0,633,0.9793695390251563,0.6872037914691943
