bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,24187,0.01235277576704798,0.002356637863315004
0.06666666666666667,0.13333333333333333,2121,0.09495447595980142,0.014144271570014143
0.13333333333333333,0.2,1044,0.16323678327924965,0.022988505747126436
0.2,0.26666666666666666,705,0.2319340276774947,0.03546099290780142
0.26666666666666666,0.3333333333333333,488,0.29769942014642226,0.045081967213114756
0.3333333333333333,0.4,380,0.3648008313422797,0.06315789473684211
0.4,0.4666666666666667,351,0.43200065437353263,0.07692307692307693
0.4666666666666667,0.5333333333333333,332,0.49820426607486107,0.08433734939759036
0.5333333333333333,0.6,262,0.5660750252779928,0.15267175572519084
0.6,0.6666666666666666,227,0.6329337099495198,0.14537444933920704
0.6666666666666666,0.7333333333333333,211,0.7029455224765954,0.15639810426540285
0.7333333333333333,0.8,226,0.7657307788666939,0.22123893805309736
0.8,0.8666666666666667,237,0.8324853499318944,0.26582278481012656
0.8666666666666667,0.9333333333333333,218,0.898255313375028,0.38073394495412843
0.9333333333333333,1.0,556,0.9760023248694666,0.7212230215827338
