bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,29334,0.006715756460080453,0.006715756460080453
0.06666666666666667,0.13333333333333333,300,0.10666666666666667,0.10666666666666667
0.13333333333333333,0.2,703,0.16500711237553342,0.16500711237553342
0.2,0.26666666666666666,167,0.20958083832335328,0.20958083832335328
0.26666666666666666,0.3333333333333333,182,0.27472527472527464,0.27472527472527475
0.3333333333333333,0.4,157,0.34394904458598724,0.34394904458598724
0.4,0.4666666666666667,185,0.41081081081081083,0.41081081081081083
0.4666666666666667,0.5333333333333333,29,0.517241379310345,0.5172413793103449
0.5333333333333333,0.6,43,0.5348837209302325,0.5348837209302325
0.6,0.6666666666666666,59,0.6271186440677967,0.6271186440677966
0.6666666666666666,0.7333333333333333,99,0.6666666666666669,0.6666666666666666
0.7333333333333333,0.8,145,0.7862068965517242,0.7862068965517242
0.8,0.8666666666666667,27,0.8148148148148148,0.8148148148148148
0.8666666666666667,0.9333333333333333,97,0.8762886597938143,0.8762886597938144
0.9333333333333333,1.0,18,1.0,1.0
