bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,28775,0.0058036490008688095,0.0058036490008688095
0.06666666666666667,0.13333333333333333,854,0.08313817330210772,0.08313817330210772
0.13333333333333333,0.2,673,0.150074294205052,0.150074294205052
0.2,0.26666666666666666,367,0.23705722070844687,0.23705722070844687
0.26666666666666666,0.3333333333333333,86,0.26744186046511625,0.26744186046511625
0.3333333333333333,0.4,138,0.36956521739130427,0.3695652173913043
0.4,0.4666666666666667,99,0.404040404040404,0.40404040404040403
0.4666666666666667,0.5333333333333333,10,0.5,0.5
0.5333333333333333,0.6,199,0.5577889447236181,0.5577889447236181
0.6666666666666666,0.7333333333333333,7,0.7142857142857143,0.7142857142857143
0.7333333333333333,0.8,166,0.7650602409638554,0.7650602409638554
0.8,0.8666666666666667,110,0.8545454545454548,0.8545454545454545
0.8666666666666667,0.9333333333333333,19,0.8947368421052632,0.8947368421052632
0.9333333333333333,1.0,42,0.9761904761904762,0.9761904761904762
